메뉴 이름,재료,날씨,시간,종류,분류,배달용
납작만두,"밀가루, 당면, 파",추움,낮,메인,분식,T
매운돼지갈비찜,"돼지갈비, 돼지고기, 당근, 양파, 파, 마늘, 고추장",보통,밤,메인,한식,T
매운소갈비찜,"소갈비, 돼지고기, 당근, 양파, 파, 마늘, 고추장",보통,밤,메인,한식,T
닭죽,"쌀, 당근, 양파, 파, 버섯, 닭고기",추움,낮,죽,한식,T
버섯죽,"쌀, 당근, 양파, 파, 버섯",추움,낮,죽,한식,T
해물라면,"라면, 면, 해산물",추움,밤,면,분식,F
김치라면,"라면, 면, 김치",추움,밤,면,분식,F
떡만두라면,"떡, 밀가루, 당면, 파, 마늘, 돼지고기, 라면, 면",추움,밤,면,분식,F
해물볶음우동,"우동, 면, 파, 마늘, 해산물, 버섯, 양배추, 양파",추움,낮,면,일식,T
짜장떡볶이,"떡, 어묵, 양배추, 파, 마늘, 고추장, 춘장",추움,낮,메인,분식,T
로제떡볶이,"떡, 어묵, 양배추, 파, 마늘, 고추장, 우유, 생크림",추움,낮,메인,분식,T
